,AverageTemperature,rolling_mean,rolling_std
1969-01-01,13.382,20.631583333333335,4.890896579980046
1969-02-01,16.024,20.741,4.759320195917967
1969-03-01,18.029,20.943166666666666,4.568945170353534
1969-04-01,17.180999999999997,20.763833333333334,4.6788032236951915
1969-05-01,21.573,20.663749999999997,4.644615418564118
1969-06-01,25.575,20.644416666666668,4.621686497733618
1969-07-01,25.266,20.519083333333334,4.457961284108013
1969-08-01,26.04,20.487083333333334,4.412871657452935
1969-09-01,26.237,20.580166666666667,4.529714517059602
1969-10-01,23.373,20.674916666666668,4.579121123660239
1969-11-01,20.197,20.736166666666666,4.566320098550269
1969-12-01,16.142,20.751583333333333,4.548997421177407
1970-01-01,15.604,20.93675,4.257640920104156
1970-02-01,15.691,20.909,4.293505751290377
1970-03-01,17.649,20.877333333333333,4.318009586357897
1970-04-01,19.304,21.05425,4.194522166414831
1970-05-01,21.293000000000003,21.030916666666666,4.19215224520408
1970-06-01,23.933000000000003,20.89408333333333,4.054898932903325
1970-07-01,25.859,20.9435,4.116173167573792
1970-08-01,26.711,20.99941666666667,4.195494563074513
1970-09-01,25.34,20.924666666666667,4.100612533697261
1970-10-01,21.884,20.800583333333332,4.041899631211517
1970-11-01,19.606,20.75133333333333,4.053506772106723
1970-12-01,14.822,20.641333333333332,4.205039494643905
1971-01-01,16.179000000000002,20.68925,4.145271876707015
1971-02-01,14.956,20.628,4.2303954468067815
1971-03-01,17.077,20.580333333333336,4.27004999615893
1971-04-01,17.558,20.434833333333334,4.346555853532621
1971-05-01,22.163,20.507333333333335,4.369367133981197
1971-06-01,24.361,20.543000000000003,4.401501293463805
1971-07-01,25.398000000000003,20.504583333333333,4.35262521533286
1971-08-01,26.763,20.508916666666668,4.359386475981409
1971-09-01,25.283,20.504166666666666,4.353671279054095
1971-10-01,21.995,20.513416666666668,4.356986102974746
1971-11-01,18.926,20.456750000000003,4.37424861339843
1971-12-01,15.457,20.509666666666668,4.303149487892725
1972-01-01,14.129,20.338833333333334,4.525644862805999
1972-02-01,14.511,20.301750000000002,4.575312411091817
1972-03-01,16.410999999999998,20.24625,4.621789109011977
1972-04-01,19.97300000000001,20.4475,4.54604962377426
1972-05-01,21.025,20.352666666666668,4.518797956281834
1972-06-01,24.309,20.348333333333333,4.51462770705772
1972-07-01,25.74,20.376833333333334,4.550341502335698
1972-08-01,27.057,20.401333333333334,4.588483455810027
1972-09-01,26.665,20.5165,4.737084594404596
1972-10-01,23.479,20.64016666666667,4.798168188975547
1972-11-01,19.506,20.6885,4.782225908127255
1972-12-01,15.645,20.704166666666666,4.763801820802236
1973-01-01,13.819,20.678333333333335,4.803375523966696
1973-02-01,15.915,20.795333333333335,4.654281085650322
1973-03-01,15.854,20.74891666666667,4.704487209198795
1973-04-01,17.94,20.5795,4.7711037507059
1973-05-01,21.359,20.607333333333333,4.774911657123432
1973-06-01,24.19,20.597416666666668,4.766641460253327
1973-07-01,26.733,20.680166666666665,4.871499933907473
1973-08-01,26.394,20.624916666666667,4.795773564643482
1973-09-01,25.661,20.54125,4.688374522058879
1973-10-01,23.739,20.562916666666666,4.703760670672947
1973-11-01,18.34,20.46575,4.739485954577382
1973-12-01,16.503,20.53725,4.66605155496982
1974-01-01,13.271,20.491583333333335,4.739878104653073
1974-02-01,14.861,20.40375,4.841080516597686
1974-03-01,17.316000000000006,20.525583333333334,4.733368211832646
1974-04-01,19.213,20.631666666666668,4.684162005841557
1974-05-01,20.977,20.599833333333333,4.680065963663582
1974-06-01,24.127,20.594583333333333,4.67570576993138
1974-07-01,26.138,20.544999999999998,4.607348636097051
1974-08-01,26.297,20.536916666666666,4.596225674068844
1974-09-01,25.692,20.5395,4.599375145307526
1974-10-01,24.31,20.587083333333336,4.638274257019871
1974-11-01,19.556,20.68841666666667,4.59782554254692
1974-12-01,14.892,20.55416666666667,4.752075658131504
1975-01-01,13.806,20.59875,4.679489465645886
1975-02-01,14.419,20.56191666666667,4.730222874978471
1975-03-01,16.765,20.516000000000002,4.767126006687495
1975-04-01,19.659,20.553166666666666,4.757773139024616
1975-05-01,21.354,20.58458333333333,4.76206900141549
1975-06-01,24.298,20.598833333333335,4.773874200142667
1975-07-01,25.774,20.5685,4.736488582368693
1975-08-01,25.98,20.542083333333334,4.702396013220432
1975-09-01,25.304,20.50975,4.664951273739473
1975-10-01,22.908,20.392916666666668,4.577865490266134
1975-11-01,19.532,20.390916666666666,4.578269590901086
1975-12-01,15.593,20.449333333333332,4.505623220605614
1976-01-01,13.831,20.451416666666667,4.502276726246052
1976-02-01,13.16,20.3465,4.667275524134151
1976-03-01,15.995,20.282333333333334,4.725915694499326
1976-04-01,18.558000000000003,20.190583333333333,4.749744824884285
1976-05-01,21.761,20.2245,4.7602492390821
1976-06-01,23.594,20.165833333333335,4.709550525423317
1976-07-01,25.516,20.144333333333332,4.682129766624911
1976-08-01,25.507,20.104916666666668,4.630239292036109
1976-09-01,24.717,20.056,4.573067460687618
1976-10-01,23.447,20.100916666666667,4.606153719029927
1976-11-01,20.256,20.16125,4.60276474474358
1976-12-01,16.253999999999998,20.21633333333333,4.546738697998674
1977-01-01,14.115,20.24,4.511079552310358
1977-02-01,16.159000000000002,20.48991666666667,4.151964342514883
1977-03-01,15.753,20.46975,4.176297950120622
1977-04-01,18.519,20.4665,4.177935777825726
1977-05-01,22.238000000000003,20.50625,4.1936113992812585
1977-06-01,24.848000000000003,20.61075,4.2920189384696
1977-07-01,26.664,20.706416666666666,4.422116162660192
1977-08-01,27.084,20.837833333333332,4.597696554369427
1977-09-01,25.625,20.913500000000003,4.674177370501572
1977-10-01,21.675,20.765833333333333,4.614471994484167
1977-11-01,20.102,20.753,4.616232604033873
1977-12-01,14.864,20.63716666666667,4.754748341172084
1978-01-01,14.009,20.628333333333334,4.76804656653078
1978-02-01,15.932,20.609416666666668,4.78779946527597
1978-03-01,16.484,20.670333333333335,4.724626109946455
1978-04-01,18.770000000000003,20.69125,4.714781323859896
1978-05-01,22.554,20.717583333333334,4.725076939408841
1978-06-01,24.418000000000003,20.681750000000005,4.69242335385652
1978-07-01,26.409,20.660500000000003,4.66335681866418
1978-08-01,25.51,20.529333333333334,4.4849820782723455
1978-09-01,24.91,20.46975,4.415340265380552
1978-10-01,23.826,20.649,4.511336689637853
1978-11-01,18.32,20.500500000000002,4.5600453646068715
1978-12-01,16.217,20.61325,4.422667235647808
1979-01-01,14.56,20.659166666666668,4.350133306908959
1979-02-01,16.247,20.68541666666667,4.319860045256786
1979-03-01,17.722,20.788583333333335,4.224122446966896
1979-04-01,19.704,20.866416666666666,4.1920298935942455
1979-05-01,21.46,20.77525,4.1637933780934
1979-06-01,25.381,20.8555,4.2487961182604845
1979-07-01,26.09,20.828916666666668,4.21172714428163
1979-08-01,26.53,20.91391666666667,4.323594999499476
1979-09-01,25.311,20.947333333333336,4.358695287131289
1979-10-01,23.852,20.9495,4.360262512947826
1979-11-01,20.628,21.141833333333334,4.283965534054821
1979-12-01,15.300999999999998,21.0655,4.386626338812499
1980-01-01,13.695,20.99341666666667,4.508656168634907
1980-02-01,14.104,20.814833333333333,4.749743262599145
1980-03-01,16.179000000000002,20.686249999999998,4.860673356364592
1980-04-01,18.342,20.572750000000003,4.901425639082414
1980-05-01,21.28,20.557750000000002,4.8987382072047065
1980-06-01,23.999,20.442583333333335,4.790077783736119
1980-07-01,26.096,20.443083333333334,4.790721134904864
1980-08-01,26.706,20.45775,4.811275471129336
1980-09-01,24.905,20.423916666666667,4.775337674082855
1980-10-01,23.327,20.380166666666668,4.743373537383643
1980-11-01,20.824,20.3965,4.744641791249643
1980-12-01,15.853,20.4425,4.6931455142773615
1981-01-01,12.954,20.38075,4.793792219204853
1981-02-01,14.237,20.391833333333334,4.778089021457176
1981-03-01,17.234,20.47975,4.702636361659266
1981-04-01,19.576,20.582583333333332,4.664981427583273
1981-05-01,21.008000000000003,20.559916666666666,4.6619445115517815
1981-06-01,24.839,20.629916666666666,4.72416854557176
1981-07-01,26.116,20.631583333333335,4.726275324922322
1981-08-01,26.612,20.62375,4.715357619234477
1981-09-01,25.22,20.650000000000002,4.742158273498365
1981-10-01,24.223000000000003,20.724666666666668,4.79490083949668
1981-11-01,18.637,20.542416666666664,4.832199940518958
1981-12-01,16.511,20.597250000000003,4.777573844631708
1982-01-01,15.082,20.774583333333336,4.499481555151818
1982-02-01,13.436,20.707833333333337,4.609871026263944
1982-03-01,15.024,20.523666666666667,4.801434015589563
1982-04-01,19.327,20.502916666666668,4.806437226325333
1982-05-01,20.764,20.482583333333334,4.804622025779548
1982-06-01,23.952,20.408666666666665,4.7378672097231265
1982-07-01,25.311,20.341583333333332,4.654679550699154
1982-08-01,26.398000000000003,20.32375,4.628809981076023
1982-09-01,25.642,20.358916666666666,4.670802723658242
1982-10-01,23.967,20.337583333333335,4.652096720997433
1982-11-01,18.175,20.299083333333332,4.66932970580522
1982-12-01,14.876,20.16283333333333,4.811600826663764
1983-01-01,12.31,19.931833333333334,5.13347587070899
1983-02-01,13.050999999999998,19.89975,5.178767703983071
1983-03-01,14.746,19.876583333333333,5.203126201155554
1983-04-01,17.879,19.755916666666668,5.233730782292404
1983-05-01,21.562,19.822416666666665,5.252739154839862
1983-06-01,23.983,19.825,5.254961897621565
1983-07-01,25.969,19.879833333333334,5.320435129732988
1983-08-01,26.115,19.85625,5.289453161717183
1983-09-01,25.091,19.810333333333336,5.2367917543843365
1983-10-01,21.902,19.63825,5.120419960138202
1983-11-01,20.109,19.799416666666666,5.10057496684679
1983-12-01,15.72,19.86975,5.031869002576558
1984-01-01,14.48,20.050583333333336,4.767541189378876
1984-02-01,15.195,20.22925,4.514858300907419
1984-03-01,16.652,20.388083333333334,4.334338063299816
